trade,scope_category,labor_hours,labor_rate,labor_cost,labor_burden_pct,material_cost,markup_pct,total_cost,is_anomaly,anomaly_type
drywall,owner_directive,42.1,56.38,2371.26,0.281,1699.39,0.0919,4444.66,0,none
steel,unforeseen_condition,56.7,87.35,4951.94,0.308,5121.42,0.0972,11052.59,0,none
mechanical,unforeseen_condition,25.9,77.46,2007.1,0.338,2510.13,0.088,4914.87,0,none
plumbing,code_compliance,271.7,75.69,20564.97,0.301,498.05,0.1416,24045.54,1,unrealistic_hours
electrical,value_engineering,37.5,67.5,2530.24,0.936,1768.08,0.1272,4845.06,1,labor_burden_inflation
concrete,owner_directive,61.4,74.57,4581.32,0.295,3958.68,0.1159,9529.51,0,none
concrete,design_error,64.4,69.74,4492.49,0.347,3408.87,0.0947,8649.97,0,none
hvac,design_error,36.0,76.52,2752.25,0.281,2313.29,0.3506,6841.52,1,inflated_markup
drywall,owner_directive,8.7,60.1,521.53,0.315,191.86,0.0823,772.1,0,none
mechanical,code_compliance,21.1,93.78,1976.32,0.283,2070.12,0.1411,4617.52,0,none
hvac,design_error,28.4,95.68,2720.58,0.333,4504.75,0.1014,7958.03,0,none
plumbing,design_error,27.6,74.31,2048.88,0.284,1994.06,0.0953,4428.38,0,none
general,owner_directive,22.4,72.97,1635.81,0.309,790.53,0.1335,2750.25,0,none
mechanical,owner_directive,36.0,93.99,3379.36,0.335,4240.1,0.1242,8565.81,0,none
mechanical,code_compliance,29.7,79.36,2357.73,0.281,12962.0,0.1123,17040.14,1,material_cost_spike
hvac,owner_directive,76.4,89.73,6853.13,0.296,7491.72,0.1495,16489.98,0,none
plumbing,design_error,49.2,77.19,3799.37,0.283,1710.68,0.1492,6332.34,0,none
steel,value_engineering,88.6,97.6,8643.57,0.323,14405.31,0.1011,25379.52,0,none
drywall,unforeseen_condition,15.0,46.17,691.66,0.322,456.52,0.0858,1246.69,0,none
mechanical,code_compliance,15.5,275.77,4274.43,0.298,1475.52,0.1477,6599.22,1,labor_rate_spike
drywall,code_compliance,14.4,51.88,748.93,0.293,453.57,0.122,1349.14,0,none
electrical,design_error,15.7,87.4,1373.7,0.321,1203.89,0.1302,2913.15,0,none
drywall,owner_directive,54.1,49.68,2689.99,0.316,903.76,0.1372,4086.73,0,none
electrical,code_compliance,26.9,81.32,2187.4,0.332,1205.32,0.1485,3896.5,0,none
concrete,owner_directive,33.2,57.22,1902.27,0.299,3209.23,0.089,5566.25,0,none
hvac,design_error,65.5,92.38,6048.1,0.349,11068.52,0.1055,18922.69,0,none
general,design_error,6.7,66.07,439.43,0.31,110.74,0.1121,611.82,0,none
electrical,design_error,9.9,81.42,808.14,0.295,373.3,0.1022,1302.2,0,none
hvac,value_engineering,42.2,100.35,4236.07,0.348,4079.61,0.0886,9052.43,0,none
concrete,unforeseen_condition,67.9,71.78,4872.94,0.314,7723.69,0.0621,13378.27,0,none
steel,value_engineering,62.6,85.2,5333.59,0.311,7430.52,0.0519,13426.3,0,none
plumbing,design_error,390.7,94.99,37112.59,0.291,1666.83,0.0958,42494.49,1,unrealistic_hours
mechanical,unforeseen_condition,55.0,82.75,4552.93,0.285,4148.57,0.0932,9512.08,0,none
general,value_engineering,6.8,51.82,351.05,0.295,128.58,0.1693,560.83,0,none
steel,design_error,51.5,91.2,4696.21,0.322,6524.58,0.0833,12155.43,0,none
concrete,owner_directive,61.2,70.09,4292.14,0.33,21077.44,0.0792,27378.85,1,material_cost_spike
general,code_compliance,27.0,62.58,1686.94,0.292,590.29,0.1568,2634.38,0,none
concrete,unforeseen_condition,56.2,64.02,3597.33,0.343,4544.16,0.0663,8680.93,0,none
plumbing,unforeseen_condition,35.4,88.3,3129.07,0.345,1838.62,0.1272,5599.4,0,none
hvac,design_error,32.3,80.75,2612.02,0.312,2195.38,0.6249,7811.54,1,inflated_markup
plumbing,unforeseen_condition,399.1,86.35,34462.28,0.339,1123.06,0.0992,39115.41,1,unrealistic_hours
mechanical,value_engineering,13.1,89.37,1168.64,0.336,1313.42,0.1486,2851.0,0,none
mechanical,owner_directive,15.8,87.2,1376.7,0.319,2052.22,0.0897,3736.58,0,none
electrical,value_engineering,23.9,92.82,2219.41,0.888,1554.52,0.1478,4331.55,1,labor_burden_inflation
plumbing,value_engineering,21.5,92.84,1998.64,0.715,1097.0,0.1321,3504.47,1,labor_burden_inflation
concrete,unforeseen_condition,49.3,65.85,3245.01,0.311,5816.22,0.1188,10137.52,0,none
general,unforeseen_condition,14.5,65.76,956.51,0.285,362.28,0.1536,1521.35,0,none
hvac,value_engineering,40.2,98.28,3947.6,0.344,5062.61,0.1469,10333.38,0,none
electrical,unforeseen_condition,28.4,72.11,2046.87,0.307,1617.71,0.145,4196.09,0,none
plumbing,design_error,12.6,94.42,1189.64,0.337,831.21,0.1142,2251.56,0,none
plumbing,owner_directive,341.7,84.52,28880.48,0.314,2160.66,0.0835,33633.08,1,unrealistic_hours
steel,owner_directive,26.5,103.61,2743.75,0.323,5129.46,0.0648,8383.47,0,none
steel,code_compliance,73.5,89.06,6546.82,0.301,17749.98,0.0599,25753.14,0,none
steel,value_engineering,812.1,75.61,61402.88,0.285,16479.16,0.0604,82586.12,1,unrealistic_hours
mechanical,code_compliance,17.2,74.42,1276.65,0.308,956.49,0.1245,2511.22,0,none
hvac,design_error,17.9,92.23,1653.53,0.332,2723.1,0.1428,5001.79,0,none
mechanical,owner_directive,33.6,75.56,2542.6,0.284,3783.22,0.1257,7120.86,0,none
electrical,design_error,30.7,79.84,2453.09,0.301,2381.56,0.115,5390.51,0,none
general,value_engineering,4.8,52.9,255.61,0.29,68.04,0.1763,380.72,0,none
general,code_compliance,8.7,50.21,435.45,0.294,137.47,0.1478,657.58,0,none
plumbing,code_compliance,10.9,70.95,776.21,0.35,384.53,0.1082,1286.34,0,none
plumbing,unforeseen_condition,27.5,87.82,2416.1,0.301,1245.16,0.1426,4183.4,0,none
concrete,owner_directive,28.2,281.4,7935.48,0.347,2506.45,0.0991,11476.73,1,labor_rate_spike
electrical,value_engineering,23.2,85.85,1989.04,0.308,1394.91,0.0859,3674.66,0,none
general,owner_directive,22.0,65.35,1436.93,0.316,508.42,0.1425,2222.64,0,none
drywall,code_compliance,57.4,67.96,3897.55,0.335,2244.43,0.105,6786.89,0,none
general,value_engineering,38.9,53.67,2089.14,0.331,1104.88,0.12,3577.35,0,none
steel,design_error,94.2,87.09,8200.92,0.315,8297.97,0.0912,18002.8,0,none
steel,owner_directive,86.2,97.4,8398.28,0.342,12292.09,0.0708,22154.49,0,none
plumbing,code_compliance,39.2,78.53,3076.33,0.31,2614.45,0.1471,6527.64,0,none
steel,owner_directive,87.4,97.06,8480.14,0.302,23539.63,0.0641,34072.86,0,none
drywall,value_engineering,45.0,64.33,2897.08,0.35,1956.96,0.5739,7639.77,1,inflated_markup
hvac,value_engineering,59.3,93.04,5515.14,0.328,6200.96,0.1178,13095.85,0,none
steel,unforeseen_condition,45.9,90.08,4132.7,0.285,4785.39,0.0757,9593.44,0,none
mechanical,unforeseen_condition,37.3,74.15,2762.75,0.307,2679.71,0.1408,6208.69,0,none
plumbing,value_engineering,22.9,84.27,1929.33,0.803,907.79,0.124,3189.04,1,labor_burden_inflation
electrical,code_compliance,15.4,284.19,4376.53,0.332,792.97,0.1343,5863.76,1,labor_rate_spike
general,unforeseen_condition,24.9,66.32,1649.24,0.283,423.83,0.1791,2444.32,0,none
general,design_error,16.4,73.97,1213.17,0.329,378.82,0.1681,1859.54,0,none
mechanical,code_compliance,6.6,94.57,628.62,0.3,773.75,0.0895,1527.84,0,none
plumbing,value_engineering,19.3,89.83,1734.96,0.281,1246.58,0.094,3261.94,0,none
mechanical,code_compliance,51.6,79.57,4107.63,0.3,2268.87,0.137,7250.16,0,none
drywall,unforeseen_condition,49.3,45.55,2247.67,0.289,1546.55,0.1008,4176.7,0,none
concrete,owner_directive,31.4,58.68,1840.91,0.334,1859.57,0.1066,4094.86,0,none
mechanical,value_engineering,39.8,76.4,3036.81,0.292,3752.89,0.1032,7490.18,0,none
drywall,design_error,555.6,63.9,35502.84,0.318,480.65,0.0975,39491.88,1,unrealistic_hours
steel,value_engineering,61.7,85.52,5278.85,0.985,11219.84,0.0784,17792.66,1,labor_burden_inflation
general,design_error,39.7,55.27,2196.64,0.299,1006.18,0.3623,4363.2,1,inflated_markup
mechanical,unforeseen_condition,49.4,97.86,4837.55,0.304,3103.0,0.0974,8714.31,0,none
electrical,design_error,39.2,81.28,3187.99,0.346,3220.08,0.1189,7169.99,0,none
electrical,value_engineering,8.1,80.76,656.49,0.324,795.69,0.1012,1599.1,0,none
steel,code_compliance,83.7,88.68,7418.66,0.342,7546.1,0.0907,16322.77,0,none
hvac,value_engineering,36.9,94.49,3485.03,0.325,5053.1,0.0962,9359.3,0,none
steel,code_compliance,27.1,75.26,2042.28,0.35,5671.31,0.0865,8380.66,0,none
plumbing,value_engineering,30.0,83.16,2498.61,0.344,1310.58,0.4276,5438.0,1,inflated_markup
concrete,value_engineering,79.5,69.72,5544.71,0.349,9057.14,0.0875,15880.14,0,none
plumbing,value_engineering,16.5,82.48,1363.01,0.33,709.53,0.1235,2328.42,0,none
drywall,value_engineering,566.9,52.58,29807.6,0.341,263.51,0.134,34100.64,1,unrealistic_hours
steel,design_error,72.7,102.34,7436.54,0.33,30280.59,0.0713,40406.36,1,material_cost_spike
drywall,owner_directive,43.9,48.05,2108.19,0.293,790.41,0.1498,3332.76,0,none
general,owner_directive,23.8,70.93,1688.83,0.339,863.01,0.1546,2946.37,0,none
steel,design_error,94.6,95.44,9030.25,0.311,9462.86,0.0724,19831.57,0,none
general,value_engineering,5.3,57.88,305.98,0.283,1696.22,0.1284,2259.28,1,material_cost_spike
drywall,code_compliance,8.8,68.05,595.64,0.308,314.94,0.1306,1029.51,0,none
steel,value_engineering,76.2,80.39,6121.73,0.318,7396.66,0.0579,14301.69,0,none
electrical,owner_directive,9.3,86.18,799.21,0.332,787.39,0.0972,1740.75,0,none
hvac,value_engineering,26.2,84.58,2212.48,0.312,4901.14,0.1446,8142.47,0,none
general,design_error,18.2,74.14,1351.31,0.327,713.89,0.1277,2328.85,0,none
electrical,unforeseen_condition,28.1,73.54,2063.63,0.338,1251.85,0.0835,3592.28,0,none
hvac,code_compliance,33.8,92.83,3133.32,0.341,5585.94,0.0895,9499.63,0,none
plumbing,value_engineering,4.5,89.23,402.21,0.281,272.68,0.1137,751.62,0,none
electrical,design_error,28.9,66.77,1927.48,0.345,1794.94,0.0833,4032.46,0,none
drywall,unforeseen_condition,13.3,69.37,923.61,0.345,388.89,0.1408,1497.28,0,none
drywall,value_engineering,20.0,69.95,1396.41,0.296,911.1,0.1436,2638.78,0,none
electrical,owner_directive,18.4,91.6,1680.87,0.317,1790.07,0.0987,3813.51,0,none
general,design_error,4.0,71.6,286.76,0.752,135.55,0.1008,464.87,1,labor_burden_inflation
steel,value_engineering,23.6,76.39,1799.12,0.283,1999.1,0.1078,4207.56,0,none
plumbing,code_compliance,15.8,94.06,1484.78,0.349,1538.89,0.1225,3394.19,0,none
plumbing,owner_directive,26.5,84.48,2240.72,0.319,1917.89,0.0961,4558.2,0,none
general,value_engineering,17.2,74.27,1276.25,0.335,606.66,0.1728,2208.27,0,none
hvac,value_engineering,58.2,76.02,4425.35,0.348,4878.2,0.1447,10649.85,0,none
steel,owner_directive,12.0,76.99,924.06,0.282,3836.36,0.1056,5263.12,1,material_cost_spike
mechanical,owner_directive,50.4,76.72,3864.67,0.282,2990.87,0.1043,7570.81,0,none
hvac,code_compliance,10.0,77.86,776.85,0.292,952.97,0.1496,1988.52,0,none
concrete,owner_directive,12.3,64.13,787.36,0.306,1218.75,0.062,2130.42,0,none
drywall,code_compliance,58.5,62.67,3665.61,0.287,1451.12,0.4884,7615.74,1,inflated_markup
general,owner_directive,27.0,58.69,1585.99,0.306,645.21,0.1065,2468.85,0,none
steel,unforeseen_condition,39.9,94.7,3778.01,0.295,18411.98,0.1176,24799.53,1,material_cost_spike
hvac,design_error,68.5,91.31,6256.16,0.304,12750.4,0.0912,20740.48,0,none
hvac,design_error,68.3,293.0,20011.9,0.313,13531.68,0.1293,37880.76,1,labor_rate_spike
mechanical,code_compliance,42.8,97.41,4169.78,0.285,4605.19,0.149,10082.3,0,none
drywall,code_compliance,569.3,60.48,34431.26,0.29,1207.91,0.1212,39958.64,1,unrealistic_hours
mechanical,unforeseen_condition,32.2,92.82,2990.61,0.345,2309.29,0.1093,5879.1,0,none
general,owner_directive,11.3,52.28,592.71,0.286,153.99,0.1411,852.03,0,none
steel,owner_directive,38.6,97.51,3759.53,0.298,6158.19,0.0706,10618.13,0,none
mechanical,unforeseen_condition,22.5,73.43,1651.76,0.297,1980.99,0.1056,4016.42,0,none
general,code_compliance,16.7,58.12,970.84,0.986,299.83,0.1668,1482.65,1,labor_burden_inflation
plumbing,code_compliance,29.4,83.06,2445.67,0.342,2818.37,0.1445,6024.59,0,none
plumbing,code_compliance,17.8,90.53,1613.06,0.287,1638.21,0.1098,3608.2,0,none
steel,code_compliance,79.1,76.25,6027.93,0.308,9867.39,0.1161,17740.97,0,none
drywall,owner_directive,35.9,52.13,1872.23,0.342,625.14,0.0998,2746.67,0,none
plumbing,design_error,12.9,81.98,1061.61,0.317,550.76,0.1232,1811.03,0,none
hvac,design_error,20.0,99.82,1997.28,0.321,3921.95,0.0969,6492.9,0,none
hvac,unforeseen_condition,72.4,90.01,6514.43,0.337,13841.11,0.0839,22062.57,0,none
electrical,value_engineering,202.2,76.6,15488.52,0.303,1212.88,0.0902,18207.87,1,unrealistic_hours
general,owner_directive,33.1,59.26,1962.24,0.284,667.59,0.1706,3078.38,0,none
plumbing,owner_directive,37.5,86.93,3258.02,0.296,2897.73,0.1432,7037.48,0,none
concrete,code_compliance,35.1,58.99,2073.27,0.927,1542.82,0.0638,3846.94,1,labor_burden_inflation
plumbing,code_compliance,17.7,82.69,1461.55,0.871,957.59,0.0893,2635.2,1,labor_burden_inflation
general,design_error,15.8,52.46,827.98,0.328,243.46,0.1125,1192.0,0,none
general,design_error,32.1,71.36,2293.32,0.287,649.48,0.1086,3262.37,0,none
concrete,value_engineering,40.1,72.08,2890.86,0.31,2547.25,0.1198,6089.59,0,none
general,unforeseen_condition,9.7,74.45,721.12,0.291,319.61,0.1773,1225.27,0,none
electrical,code_compliance,12.7,71.56,912.19,0.295,778.86,0.0993,1859.02,0,none
plumbing,unforeseen_condition,13.9,80.62,1121.08,0.306,914.56,0.1216,2283.25,0,none
electrical,owner_directive,24.5,82.91,2030.08,0.323,907.46,0.1159,3278.14,0,none
concrete,code_compliance,54.2,68.82,3732.18,0.305,3787.26,0.1132,8370.9,0,none
concrete,owner_directive,67.1,78.19,5248.36,0.298,4402.75,0.1112,10724.24,0,none
mechanical,design_error,6.5,86.28,563.35,0.313,494.51,0.1004,1164.07,0,none
drywall,unforeseen_condition,26.6,50.15,1336.07,0.344,457.39,0.1334,2032.78,0,none
drywall,code_compliance,562.2,56.18,31584.4,0.324,2101.87,0.0984,37001.0,1,unrealistic_hours
mechanical,unforeseen_condition,7.7,81.15,628.39,0.336,538.48,0.1181,1304.65,0,none
steel,unforeseen_condition,96.2,103.88,9988.62,0.309,11930.26,0.0602,23237.47,0,none
steel,code_compliance,58.7,75.36,4422.35,0.315,7979.66,0.114,13815.77,0,none
concrete,code_compliance,28.8,73.94,2129.18,0.319,1858.4,0.0712,4271.52,0,none
mechanical,design_error,8.0,73.68,590.5,0.308,445.73,0.0992,1139.04,0,none
steel,owner_directive,18.8,104.44,1959.75,0.305,2659.76,0.0947,5056.87,0,none
concrete,unforeseen_condition,33.5,67.29,2255.66,0.35,3429.51,0.0846,6166.39,0,none
mechanical,owner_directive,22.5,88.79,1995.11,0.284,2031.18,0.0993,4426.12,0,none
electrical,unforeseen_condition,31.0,81.03,2511.68,0.331,2812.97,0.121,5968.72,0,none
hvac,design_error,52.9,102.36,5409.81,0.303,6919.81,0.1308,13942.35,0,none
drywall,owner_directive,40.9,49.52,2026.66,0.283,1648.54,0.1236,4129.38,0,none
steel,code_compliance,39.4,82.66,3253.96,0.283,3495.78,0.0705,7225.46,0,none
electrical,unforeseen_condition,28.6,92.51,2645.8,0.348,1492.68,0.1225,4645.66,0,none
general,owner_directive,32.7,72.47,2370.18,0.327,12389.51,0.1171,16488.05,1,material_cost_spike
electrical,value_engineering,5.4,87.87,474.65,0.319,492.6,0.1234,1086.58,0,none
hvac,design_error,22.3,86.0,1920.38,0.325,1965.95,0.0973,4264.46,0,none
steel,unforeseen_condition,71.6,76.02,5445.7,0.308,13296.03,0.0995,20607.26,0,none
general,owner_directive,19.7,56.25,1108.38,0.334,536.41,0.1137,1831.83,0,none
general,value_engineering,360.0,50.8,18288.0,0.324,712.37,0.1708,22245.63,1,unrealistic_hours
mechanical,code_compliance,40.2,72.63,2921.64,0.327,4012.43,0.0946,7590.07,0,none
concrete,code_compliance,36.4,64.84,2362.53,0.303,2420.28,0.067,5103.03,0,none
plumbing,design_error,27.0,81.72,2204.13,0.323,1095.66,0.1364,3749.89,0,none
general,unforeseen_condition,4.6,54.22,248.84,0.342,145.3,0.1463,451.79,0,none
hvac,value_engineering,32.3,101.19,3264.17,0.344,4997.96,0.1,9088.47,0,none
electrical,design_error,23.1,87.09,2009.48,0.286,1831.32,0.1337,4354.48,0,none
general,code_compliance,9.6,53.63,514.9,0.288,161.43,0.3291,898.91,1,inflated_markup
electrical,owner_directive,14.6,88.55,1290.93,0.309,1235.27,0.1068,2795.93,0,none
drywall,unforeseen_condition,21.5,55.47,1191.89,0.658,555.37,0.1161,1950.11,1,labor_burden_inflation
plumbing,unforeseen_condition,13.1,94.23,1232.1,0.327,1433.47,0.1177,2979.26,0,none
mechanical,code_compliance,10.2,77.84,795.14,0.327,615.07,0.1009,1552.56,0,none
electrical,owner_directive,26.6,91.01,2417.52,0.299,1965.15,0.0822,4742.79,0,none
drywall,design_error,19.7,69.65,1374.57,0.332,960.15,0.1325,2644.1,0,none
electrical,unforeseen_condition,21.6,268.27,5794.63,0.311,748.77,0.1241,7355.44,1,labor_rate_spike
general,unforeseen_condition,38.5,58.29,2242.64,0.291,1286.39,0.1529,4068.72,0,none
steel,unforeseen_condition,91.3,75.95,6931.73,0.283,7208.87,0.0861,15357.61,0,none
electrical,owner_directive,34.5,73.22,2522.82,0.307,1730.63,0.0991,4674.78,0,none
drywall,design_error,13.5,218.48,2949.48,0.331,402.22,0.1465,3842.72,1,labor_rate_spike
steel,code_compliance,15.0,356.83,5352.45,0.281,2490.19,0.084,8501.42,1,labor_rate_spike
plumbing,design_error,24.0,76.44,1834.39,0.321,6581.95,0.0827,9112.37,1,material_cost_spike
drywall,unforeseen_condition,40.0,225.83,9033.2,0.319,1117.18,0.11,11266.92,1,labor_rate_spike
plumbing,value_engineering,33.5,88.0,2947.4,0.298,2650.56,0.118,6258.46,0,none
concrete,unforeseen_condition,31.8,69.4,2208.19,0.282,9434.57,0.0983,12787.24,1,material_cost_spike
plumbing,code_compliance,27.4,84.69,2324.81,0.33,1759.45,0.0951,4472.55,0,none
steel,value_engineering,78.8,78.16,6159.12,0.298,9332.32,0.0959,16976.49,0,none
concrete,unforeseen_condition,64.7,66.48,4301.63,0.285,2951.54,0.054,7644.71,0,none
drywall,unforeseen_condition,7.9,58.12,461.64,0.303,158.79,0.1224,696.36,0,none
mechanical,owner_directive,43.5,71.73,3122.69,0.29,4605.21,0.0967,8475.52,0,none
general,code_compliance,39.2,50.98,1997.57,0.339,660.44,0.1531,3064.86,0,none
general,design_error,31.9,71.71,2284.08,0.303,1279.79,0.1359,4048.07,0,none
steel,owner_directive,86.3,87.2,7527.25,0.315,10918.03,0.0914,20130.75,0,none
general,code_compliance,33.2,225.19,7476.31,0.338,505.92,0.1216,8952.87,1,labor_rate_spike
drywall,code_compliance,40.1,216.84,8695.28,0.303,1484.24,0.1043,11241.24,1,labor_rate_spike
plumbing,value_engineering,12.3,73.26,898.28,0.325,485.12,0.0878,1504.9,0,none
electrical,unforeseen_condition,11.9,65.66,779.96,0.288,378.74,0.135,1315.11,0,none
general,design_error,29.3,64.38,1885.44,0.314,1111.14,0.1767,3526.03,0,none
general,design_error,27.9,59.87,1672.75,0.337,8901.39,0.1214,11857.84,1,material_cost_spike
plumbing,code_compliance,31.9,87.01,2771.76,0.335,3335.67,0.1002,6719.5,0,none
hvac,value_engineering,18.9,86.49,1637.78,0.309,1604.78,0.1269,3654.01,0,none
mechanical,owner_directive,14.1,85.64,1206.43,0.319,697.64,0.1311,2153.61,0,none
electrical,unforeseen_condition,328.8,71.84,23620.99,0.299,1099.63,0.139,28156.79,1,unrealistic_hours
steel,design_error,55.2,103.41,5712.6,0.634,9244.46,0.0716,16028.66,1,labor_burden_inflation
plumbing,unforeseen_condition,35.2,91.48,3217.97,0.31,2492.83,0.1081,6327.93,0,none
hvac,design_error,28.9,91.52,2643.77,0.303,4021.67,0.1048,7363.76,0,none
steel,owner_directive,28.7,402.45,11550.31,0.338,2926.03,0.0978,15892.13,1,labor_rate_spike
drywall,value_engineering,10.6,67.9,718.61,0.336,332.97,0.1462,1205.28,0,none
drywall,owner_directive,14.0,46.56,649.65,0.311,218.36,0.1242,975.79,0,none
concrete,value_engineering,10.0,64.96,651.33,0.284,478.53,0.1092,1253.23,0,none
mechanical,code_compliance,52.7,79.72,4198.54,0.291,5006.89,0.0933,10064.47,0,none
electrical,unforeseen_condition,28.0,90.65,2537.28,0.315,2514.5,0.484,7496.84,1,inflated_markup
plumbing,design_error,25.6,86.38,2208.46,0.312,6680.33,0.1338,10078.11,1,material_cost_spike
hvac,value_engineering,19.8,88.47,1749.41,0.313,1574.14,0.1131,3699.47,0,none
plumbing,value_engineering,29.3,92.26,2703.11,0.33,1827.4,0.0851,4915.99,0,none
drywall,design_error,22.9,69.49,1588.94,0.333,1254.88,0.3925,3960.02,1,inflated_markup
general,value_engineering,34.7,286.86,9954.04,0.325,741.88,0.1406,12199.77,1,labor_rate_spike
concrete,unforeseen_condition,59.7,55.05,3284.72,0.341,5081.8,0.0528,8808.6,0,none
electrical,unforeseen_condition,33.3,70.38,2341.68,0.317,2695.45,0.1035,5558.46,0,none
general,code_compliance,8.3,59.56,495.2,0.332,323.09,0.1016,901.42,0,none
plumbing,owner_directive,47.9,76.26,3651.25,0.288,2565.81,0.0891,6770.91,0,none
